,Activation Function,Learning Rate,Max Iterations,Hidden Layer Topology,Training Data Accuracy,Test Data Accuracy,Training Data Error,Test Data Error
0,logistic,0.01,100,[6],0.9256465517241379,0.9306494269761975,0.778456998045263,0.7436675561222219
1,logistic,0.01,100,"[2, 3]",0.8822492163009404,0.8889215398178079,0.9530515253811559,0.9172330595077847
2,logistic,0.01,200,[6],0.9287813479623824,0.9321187187775493,0.7616004637982308,0.7627840804154818
3,logistic,0.01,200,"[2, 3]",0.9072296238244514,0.9112547751983544,0.879884485863883,0.8776119656594175
4,logistic,0.1,100,[6],0.9256465517241379,0.9256538348516016,0.7801540118025808,0.7915213352123779
5,logistic,0.1,100,"[2, 3]",0.8976293103448276,0.8980311489861886,0.8862631564299291,0.8899147604847288
6,logistic,0.1,200,[6],0.9288793103448276,0.93270643549809,0.7659612969752126,0.7681585691918448
7,logistic,0.1,200,"[2, 3]",0.9127155172413793,0.9147810755215986,0.8741879348598592,0.8829531300115753
8,tanh,0.01,100,[6],0.9254506269592476,0.9297678518953865,0.7812833065000647,0.7974393341346016
9,tanh,0.01,100,"[2, 3]",0.8962578369905956,0.8997942991478107,0.8897932203167375,0.9406420800570336
10,tanh,0.01,200,[6],0.9284874608150471,0.9347634440199823,0.7690246438322484,0.7195682252548093
11,tanh,0.01,200,"[2, 3]",0.9078173981191222,0.9106670584778137,0.9086940748294192,0.9099960764980503
12,tanh,0.1,100,[6],0.9262343260188087,0.9300617102556568,0.7738501430426613,0.7673930896103904
13,tanh,0.1,100,"[2, 3]",0.8990987460815048,0.8997942991478107,0.8590975435546844,0.9036771454403956
14,tanh,0.1,200,[6],0.9278996865203761,0.9347634440199823,0.7673668489567053,0.725870539397169
15,tanh,0.1,200,"[2, 3]",0.9108542319749217,0.910079341757273,0.8618867362255349,0.8940328517092373
16,relu,0.01,100,[6],0.9255485893416928,0.9297678518953865,0.7785199163721425,0.7527010818387564
17,relu,0.01,100,"[2, 3]",0.8920454545454546,0.8918601234205114,0.8699754977993115,0.8827867077822181
18,relu,0.01,200,[6],0.9304467084639498,0.9359388774610637,0.7571498280188443,0.7076260636103477
19,relu,0.01,200,"[2, 3]",0.9114420062695925,0.916838084043491,0.8612613772105471,0.857457647581742
20,relu,0.1,100,[6],0.9276057993730408,0.9285924184543051,0.7711236356395816,0.7622059946330003
21,relu,0.1,100,"[2, 3]",0.9090909090909091,0.9065530414340288,0.8848250451369284,0.9122537345967021
22,relu,0.1,200,[6],0.9267241379310345,0.9309432853364679,0.7664087976667973,0.7280937315536448
23,relu,0.1,200,"[2, 3]",0.9067398119122257,0.9097854833970026,0.8767615497083697,0.8809539882842881
